Employee Number,Employee Name,Date of Birth,Sex,Citizenship,Race,State,Zip,Marital Status,Department,Manager Name,Position,Performance Rank,Performance Score,Pay Rate,Employee Source,Employment Status,Date of Hire,Date of Termination,Reason for Termination,age,worked
1103024456,"Brown, Mia",1987.11.24,Female,US Citizen,African American,MA,1450,Married,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,28.5,Diversity Job Fair,Active,2012.10.27,,N/A,34,9
1106026572,"LaRotonda, William",1984.4.26,Male,US Citizen,African American,MA,1460,Divorced,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,23,Website Banner Ads,Active,2018.1.6,,N/A,37,3
1302053333,"Steans, Tyrone",1986.9.1,Male,US Citizen,White,MA,2703,Single,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,29,Internet Search,Active,2018.9.29,,N/A,35,3
1211050782,"Howard, Estelle",1985.9.16,Female,US Citizen,White,MA,2170,Married,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,0,N/A,21.5,Pay Per Click - Google,Active,2019.2.16,,N/A,36,2
1307059817,"Singh, Nan",1988.5.19,Female,US Citizen,White,MA,2330,Single,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,0,N/A,16.56,Website Banner Ads,Active,2019.5.1,,N/A,33,2
711007713,"Smith, Leigh Ann",1987.6.14,Female,US Citizen,Asian,MA,1844,Married,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,3,Fully Meets,20.5,Diversity Job Fair,Voluntarily Terminated,2015.9.26,2017.9.25,Another Position / Career Change,34,2
1102024115,"LeBlanc, Brandon  R",1984.6.10,Male,US Citizen,White,MA,1460,Married,Admin Offices,Janet King,Shared Services Manager,3,Fully Meets,55,Monster.com,Active,2020.1.5,,N/A,37,1
1206043417,"Quinn, Sean",1984.11.6,Male,Eligible NonCitizen,African American,MA,2045,Married,Admin Offices,Janet King,Shared Services Manager,3,Fully Meets,55,Diversity Job Fair,Voluntarily Terminated,2015.2.21,2019.8.15,Another Position / Career Change,37,4
1307060188,"Boutwell, Bonalyn",1987.4.4,Female,US Citizen,Asian,MA,2468,Married,Admin Offices,Brandon R. LeBlanc,Sr. Accountant,3,Fully Meets,34.95,Diversity Job Fair,Active,2019.2.16,,N/A,34,2
1201031308,"Foster-Baker, Amy",1979.4.16,Female,US Citizen,White,MA,2050,Married,Admin Offices,Board of Directors,Sr. Accountant,3,Fully Meets,34.95,Other,Active,2013.1.5,,N/A,42,8
1001495124,"King, Janet",1954.9.21,Female,US Citizen,White,MA,1902,Married,Executive Office,Board of Directors,President & CEO,3,Fully Meets,80,Pay Per Click - Google,Active,2016.7.2,,N/A,67,5
1112030816,"Zamora, Jennifer",1979.8.30,Female,US Citizen,White,MA,2067,Single,IT/IS,Janet King,CIO,5,Exceptional,65,Employee Referral,Active,2014.4.10,,N/A,42,7
1102024056,"Becker, Renee",1986.4.4,Female,US Citizen,White,MA,2026,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,43,Search Engine - Google Bing Yahoo,Terminated for Cause,2018.7.7,2019.9.12,Performance,35,1
