Employee Number,Employee Name,Date of Birth,Sex,Citizenship,Race,State,Zip,Marital Status,Department,Manager Name,Position,Performance Rank,Performance Score,Pay Rate,Employee Source,Employment Status,Date of Hire,Date of Termination,Reason for Termination
1103024456,"Brown, Mia",1987-11-24,Female,US Citizen,African American,MA,01450,Married,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,28.5,Diversity Job Fair,Active,2012-10-27,,N/A
1106026572,"LaRotonda, William",1984-04-26,Male,US Citizen,African American,MA,01460,Divorced,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,23,Website Banner Ads,Active,2018-01-06,,N/A
1302053333,"Steans, Tyrone",1986-09-01,Male,US Citizen,White,MA,02703,Single,Admin Offices,Brandon R. LeBlanc,Accountant I,3,Fully Meets,29,Internet Search,Active,2018-09-29,,N/A
1211050782,"Howard, Estelle",1985-09-16,Female,US Citizen,White,MA,02170,Married,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,0,N/A,21.5,Pay Per Click - Google,Active,2019-02-16,,N/A
1307059817,"Singh, Nan",1988-05-19,Female,US Citizen,White,MA,02330,Single,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,0,N/A,16.56,Website Banner Ads,Active,2019-05-01,,N/A
0711007713,"Smith, Leigh Ann",1987-06-14,Female,US Citizen,Asian,MA,01844,Married,Admin Offices,Brandon R. LeBlanc,Administrative Assistant,3,Fully Meets,20.5,Diversity Job Fair,Voluntarily Terminated,2015-09-26,2017-09-25,Another Position / Career Change
1102024115,"LeBlanc, Brandon  R",1984-06-10,Male,US Citizen,White,MA,01460,Married,Admin Offices,Janet King,Shared Services Manager,3,Fully Meets,55,Monster.com,Active,2020-01-05,,N/A
1206043417,"Quinn, Sean",1984-11-06,Male,Eligible NonCitizen,African American,MA,02045,Married,Admin Offices,Janet King,Shared Services Manager,3,Fully Meets,55,Diversity Job Fair,Voluntarily Terminated,2015-02-21,2019-08-15,Another Position / Career Change
1307060188,"Boutwell, Bonalyn",1987-04-04,Female,US Citizen,Asian,MA,02468,Married,Admin Offices,Brandon R. LeBlanc,Sr. Accountant,3,Fully Meets,34.95,Diversity Job Fair,Active,2019-02-16,,N/A
1201031308,"Foster-Baker, Amy",1979-04-16,Female,US Citizen,White,MA,02050,Married,Admin Offices,Board of Directors,Sr. Accountant,3,Fully Meets,34.95,Other,Active,2013-01-05,,N/A
1001495124,"King, Janet",1954-09-21,Female,US Citizen,White,MA,01902,Married,Executive Office,Board of Directors,President & CEO,3,Fully Meets,80,Pay Per Click - Google,Active,2016-07-02,,N/A
1112030816,"Zamora, Jennifer",1979-08-30,Female,US Citizen,White,MA,02067,Single,IT/IS,Janet King,CIO,5,Exceptional,65,Employee Referral,Active,2014-04-10,,N/A
1102024056,"Becker, Renee",1986-04-04,Female,US Citizen,White,MA,02026,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,43,Search Engine - Google Bing Yahoo,Terminated for Cause,2018-07-07,2019-09-12,Performance
0905013738,"Goble, Taisha",1971-10-23,Female,US Citizen,White,MA,02127,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,48.5,Glassdoor,Terminated for Cause,2019-02-16,2019-03-15,Gross Misconduct
1410071156,"Hernandez, Daniff",1986-08-07,Male,US Citizen,African American,MA,01960,Married,IT/IS,Simon Roup,Database Administrator,0,N/A,40.1,Employee Referral,Terminated for Cause,2019-02-16,2019-02-22,Gross Misconduct
1105025718,"Horton, Jayne",1984-02-21,Female,US Citizen,White,MA,02493,Single,IT/IS,Simon Roup,Database Administrator,0,N/A,34,Glassdoor,Active,2019-03-30,,N/A
1003018246,"Johnson, Noelle",1986-11-07,Female,US Citizen,Asian,MA,02301,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,40,Glassdoor,Leave of Absence,2019-01-05,,N/A
1406068403,"Murray, Thomas",1988-07-04,Male,US Citizen,African American,TX,78230,Divorced,IT/IS,Simon Roup,Database Administrator,5,Exceptional,35.5,Diversity Job Fair,Active,2018-11-10,,N/A
